"TABLE 4-3. S&E and S&E technologies associate's degrees awarded, by sex, citizenship, race or ethnicity, and field: 2012  ",,,,,,,,,,,,,,,,
,,,Science,,,,,,,,,,S&E technologies,,,
"Sex, citizenship, and race or ethnicity",All fields,S&E,All sciences,Agricultural sciences,Biological sciences,Computer sciences,"Earth, atmospheric, and ocean sciences",Mathematics and statistics,Physical sciences,Psychology,Social sciences,Engineering,All S&E technologies,Engineering,Health,Other
,,,,,,,,,,,,,,,,
All degrees,"1,025,882","84,641","81,103","2,530","4,003","41,102",103,"1,529","3,567","4,701","23,568","3,538","165,631","40,609","121,797","3,225"
Female,"630,815","35,865","35,376",942,"2,655","8,814",34,479,"1,559","3,611","17,282",489,"107,403","4,912","101,423","1,068"
Male,"395,067","48,776","45,727","1,588","1,348","32,288",69,"1,050","2,008","1,090","6,286","3,049","58,228","35,697","20,374","2,157"
,,,,,,,,,,,,,,,,
U.S. citizen and permanent resident,"1,008,751","83,039","79,741","2,517","3,910","40,610",101,"1,443","3,280","4,664","23,216","3,298","164,609","40,345","121,083","3,181"
Female,"620,818","35,238","34,788",937,"2,598","8,696",34,447,"1,452","3,579","17,045",450,"106,779","4,849","100,884","1,046"
Male,"387,933","47,801","44,953","1,580","1,312","31,914",67,996,"1,828","1,085","6,171","2,848","57,830","35,496","20,199","2,135"
,,,,,,,,,,,,,,,,
White,"586,043","43,551","41,483","2,160","1,802","22,923",76,665,"1,508","2,162","10,187","2,068","96,799","24,366","70,394","2,039"
Female,"355,676","16,771","16,544",786,"1,176","4,642",24,214,590,"1,662","7,450",227,"62,508","2,774","59,099",635
Male,"230,367","26,780","24,939","1,374",626,"18,281",52,451,918,500,"2,737","1,841","34,291","21,592","11,295","1,404"
,,,,,,,,,,,,,,,,
Asian or Pacific Islandera,"46,105","4,976","4,681",41,496,"1,771",6,202,473,262,"1,430",295,"6,185","1,093","4,905",187
Female,"26,866","2,172","2,112",18,321,388,2,71,214,171,927,60,"3,663",161,"3,427",75
Male,"19,239","2,804","2,569",23,175,"1,383",4,131,259,91,503,235,"2,522",932,"1,478",112
,,,,,,,,,,,,,,,,
Black,"131,258","10,152","9,916",25,327,"5,402",0,61,393,416,"3,292",236,"22,576","4,294","17,889",393
Female,"89,027","5,019","4,984",11,225,"1,560",0,12,263,336,"2,577",35,"16,336",649,"15,521",166
Male,"42,231","5,133","4,932",14,102,"3,842",0,49,130,80,715,201,"6,240","3,645","2,368",227
,,,,,,,,,,,,,,,,
Hispanicb,"148,604","12,369","11,916",91,945,"4,081",12,398,598,"1,364","4,427",453,"21,181","5,154","15,637",390
Female,"92,388","6,176","6,088",47,654,795,5,127,274,"1,056","3,130",88,"13,190",593,"12,487",110
Male,"56,216","6,193","5,828",44,291,"3,286",7,271,324,308,"1,297",365,"7,991","4,561","3,150",280
,,,,,,,,,,,,,,,,
American Indian or Alaska Native,"9,898","1,046","1,017",75,66,336,3,22,41,88,386,29,"1,432",377,"1,031",24
Female,"6,307",559,550,34,46,100,1,5,20,72,272,9,930,55,868,7
Male,"3,591",487,467,41,20,236,2,17,21,16,114,20,502,322,163,17
,,,,,,,,,,,,,,,,
Other or unknown race or ethnicityc,"86,843","10,945","10,728",125,274,"6,097",4,95,267,372,"3,494",217,"16,436","5,061","11,227",148
Female,"50,554","4,541","4,510",41,176,"1,211",2,18,91,282,"2,689",31,"10,152",617,"9,482",53
Male,"36,289","6,404","6,218",84,98,"4,886",2,77,176,90,805,186,"6,284","4,444","1,745",95
,,,,,,,,,,,,,,,,
Temporary resident,"17,131","1,602","1,362",13,93,492,2,86,287,37,352,240,"1,022",264,714,44
Female,"9,997",627,588,5,57,118,0,32,107,32,237,39,624,63,539,22
Male,"7,134",975,774,8,36,374,2,54,180,5,115,201,398,201,175,22
S&E = science and engineering.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
a Pacific Islander includes Native Hawaiian or Other Pacific Islander.,,,,,,,,,,,,,,,,
b Includes Hispanic of one or more races.,,,,,,,,,,,,,,,,
"c Before 2008, the survey did not collect information on more than one race, and the category includes only race and ethnicity unknown. Beginning in 2008, the category includes more than one race as well as race and ethnicity unknown. From 2008 to 2010, the survey gave institutions the option to use the new racial and ethnic categories established by the U.S. Office of Management and Budget (OMB) effective 1 January 2003 and to report race as more than one race. Because the use of the new categories was optional during this period of time, data on students of more than one race were not representative of all students who could be classified as being of more than one race. In 2011, the survey required institutions to begin reporting information on more than one race, along with information in the other racial and ethnic categories, but institutions were not required to update the race and ethnicity data of individuals who were already in the system. Therefore, the number reported for more than one race in 2011 is likely to be an undercount. ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"NOTES: Race and ethnicity breakouts are for U.S. citizens and permanent residents only. Starting with academic year 2015–16 data, data will reflect OMB’s latest race and ethnicity categories; at that point, 4 years of data collected under these categories will become available. Temporary resident includes all racial and ethnic groups. Data are based on degree-granting institutions eligible to participate in Title IV federal financial aid programs.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, special tabulations of U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System, Completions Survey, 2012.",,,,,,,,,,,,,,,,
